RA,Nome,Ano,Idade,Genero,Ano_ingresso,Anos_na_PM,Instituicao_ensino,Fase_raw,Fase_num,Turma,Pedra,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Nota_Mat,Nota_Por,Nota_Ing,Fase_ideal_raw,Fase_ideal_num,Defasagem,Categoria_Defasagem,Indicado_bolsa,Atingiu_PV,Rec_Psicologia
RA-145,Aluno-145,2023,17,Masculino,2017,6.0,Pública,FASE 4,4,4H,,,2.5,6.2,9.0,7.9,,7.96875,7.4625,5.3,6.0,7.2,Fase 7 (3° EM),7.0,-3,Severa,,,
RA-1450,Aluno-1450,2024,9,Masculino,2024,0.0,Pública,1R,1,1R,Ametista,7.405235714200002,10.0,3.5,8.571428571,9.502,7.51,7.8125,7.5425,0.0,7.0,,Fase 1 (3° e 4° ano),1.0,0,Em fase,,,
RA-1451,Aluno-1451,2024,11,Feminino,2024,0.0,Pública,1R,1,1R,Ametista,7.560479761900002,5.0,6.0,8.8095238095,10.002,7.51,7.96875,7.7525,6.0,6.0,,Fase 2 (5° e 6° ano),2.0,-1,Moderada,,,
RA-1452,Aluno-1452,2024,12,Masculino,2024,0.0,Pública,2A,2,2A,Topázio,8.6268666667,10.0,7.75,10.0,9.002,7.51,7.916666667,8.17,7.0,8.5,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1453,Aluno-1453,2024,12,Feminino,2021,3.0,Pública,2A,2,2A,Ametista,7.1234857143,5.0,6.5,7.8214285715,8.502,6.25,7.5,7.67,4.5,8.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1454,Aluno-1454,2024,10,Feminino,2023,1.0,Pública,2A,2,2A,Ametista,7.7042238095,10.0,7.75,5.880952381,8.002,7.51,7.708333333,8.28,7.5,8.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1455,Aluno-1455,2024,12,Feminino,2024,0.0,Pública,2A,2,2A,Ágata,6.6442555555,5.0,3.5,7.777777778,8.002,7.51,7.708333333,7.833333333,,3.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1456,Aluno-1456,2024,11,Masculino,2024,0.0,Pública,2A,2,2A,Topázio,8.492914285800001,10.0,7.75,9.511904762,9.502,7.51,7.5,7.946666667,5.5,10.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1457,Aluno-1457,2024,12,Feminino,2024,0.0,Pública,2B,2,2B,Ágata,6.0197761904,5.0,2.75,8.0357142855,3.498,7.51,7.291666667,7.663333333,2.5,3.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1458,Aluno-1458,2024,12,Feminino,2024,0.0,Pública,2B,2,2B,Quartzo,5.879073684200001,5.0,3.25,7.280701754500001,8.751,7.51,6.041666667,5.213333333,0.5,6.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1459,Aluno-1459,2024,12,Masculino,2024,0.0,Pública,2C,2,2C,Ágata,6.665390476100001,5.0,3.75,8.2976190475,8.002,7.51,7.5,7.273333333,2.0,5.5,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-146,Aluno-146,2022,15,Feminino,2022,0.0,Escola Pública,4,4,H,Ametista,7.947,5.0,7.9,9.2,8.3,7.5,,8.208,6.3,7.3,10.0,Fase 5 (1º EM),5.0,-1,Moderada,True,False,Não atendido
RA-146,Aluno-146,2023,16,Feminino,2022,1.0,Pública,FASE 5,5,5C,Ametista,7.584483333,5.0,7.9,9.5,6.2,5.0,8.4375,8.2125,7.8,5.8,10.0,Fase 6 (2° EM),6.0,-1,Moderada,,,
RA-146,Aluno-146,2024,17,Feminino,2022,2.0,Pública,5D,5,5D,Topázio,8.134554885333333,5.0,9.333333333333334,9.514316093333333,8.751,5.635,7.65625,8.304,9.0,9.0,10.0,Fase 7 (3° EM),7.0,-2,Moderada,,,
RA-1460,Aluno-1460,2024,12,Masculino,2024,0.0,Pública,2C,2,2C,Ágata,6.784805263200001,10.0,3.25,7.460526316,9.502,7.51,6.875,6.27,2.5,4.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
RA-1461,Aluno-1461,2024,12,Feminino,2024,0.0,Pública,2C,2,2C,Ágata,6.871961904800001,5.0,2.75,9.273809524,10.002,7.51,7.5,7.33,0.5,5.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1462,Aluno-1462,2024,13,Feminino,2024,0.0,Pública,2D,2,2D,Ametista,7.6243666666,5.0,6.5,10.0,8.502,7.51,8.125,7.053333333,6.0,7.0,,Fase 3 (7° e 8° ano),3.0,-1,Moderada,,,
RA-1463,Aluno-1463,2024,12,Masculino,2024,0.0,Pública,2D,2,2D,Topázio,9.074561111000001,10.0,10.0,9.722222222,8.502,7.51,9.0625,8.113333333,10.0,10.0,,Fase 2 (5° e 6° ano),2.0,0,Em fase,,,
